asin,old_price,price,change,old_seller,num_of_seller,url,name
B07GH953JN,399.9,399.9,,68,68.0,https://www.amazon.com/dp/B07GH953JN,"LEGO Harry Potter Hogwarts Castle 71043 Castle Model Building Kit With Harry Potter Figures Gryffindor, Hufflepuff, and more (6,020 Pieces)"
B01EIKRP0K,39.99,39.99,,20,21.0,https://www.amazon.com/dp/B01EIKRP0K,Harry Potter Hogwarts Battle Cooperative Deck Building Card Game | Official Harry Potter Licensed Merchandise | Harry Potter Board Game | Great Gift for Harry Potter Fans | Harry Potter Movie artwork
B0827HSQQJ,249.9,249.9,,38,,https://www.amazon.com/dp/B0827HSQQJ,"LEGO DC Batman 1989 Batmobile 76139 Building Kit, New 2020 (3,306 Pieces)"
B07Q2N1SJV,87.31,86.99,-0.32,111,109.0,https://www.amazon.com/dp/B07Q2N1SJV,"LEGO Star Wars: Attack of the Clones Yoda 75255 Yoda Building Model and Collectible Minifigure with Lightsaber (1,771 Pieces)"
B07JXP6RW5,148.9,148.9,,31,,https://www.amazon.com/dp/B07JXP6RW5,LEGO Creator Expert Ford Mustang 10265 Building Kit (1471 Pieces)
B00B9X04F8,0.0,0.0,,6,6.0,https://www.amazon.com/dp/B00B9X04F8,Kemet
B07PZF5F5P,190.5,190.5,,36,36.0,https://www.amazon.com/dp/B07PZF5F5P,LEGO Technic Land Rover Defender 42110 Building Kit (2573 Pieces)
1988884047,57.84,57.84,,18,19.0,https://www.amazon.com/dp/1988884047,Roxley Games Brass Birmingham Board Games
B079T64NS7,53.82,53.82,,11,11.0,https://www.amazon.com/dp/B079T64NS7,Shadowrun Crossfire Prime Runner Edition
B01LZXVN4P,100.8,100.8,,55,54.0,https://www.amazon.com/dp/B01LZXVN4P,Gloomhaven
